iter	Logloss
0	0.67449555
1	0.6569706958
2	0.6406501297
3	0.6248270108
4	0.6098841077
5	0.5953478766
6	0.5843684183
7	0.5718638806
8	0.5600909123
9	0.5477048691
10	0.5364711521
11	0.5262864574
12	0.5154839899
13	0.5072449272
14	0.4981965291
15	0.4893162166
16	0.4803857316
17	0.4732582074
18	0.4650239201
19	0.4575911973
20	0.4483697233
21	0.4426143382
22	0.4363776702
23	0.4308102079
24	0.4240488764
25	0.4175813918
26	0.411047369
27	0.4054978606
28	0.4006226503
29	0.3955945774
30	0.3904891183
31	0.3847033235
32	0.380930516
33	0.3756923736
34	0.3729102809
35	0.3678470009
36	0.3643572086
37	0.3603921209
38	0.3572850036
39	0.3534944205
40	0.3478542572
41	0.3444986799
42	0.3398434733
43	0.336759473
44	0.3320959478
45	0.3295184184
46	0.3267295896
47	0.3237700012
48	0.3218337903
49	0.3195297613
50	0.3151240812
51	0.3127830226
52	0.3099046581
53	0.3081417652
54	0.3065811088
55	0.3047686645
56	0.3030746093
57	0.3008843452
58	0.2981343578
59	0.2964699896
60	0.2943339333
61	0.2926827928
62	0.2908021734
63	0.2894015756
64	0.2879408155
65	0.2865747693
66	0.2855889994
67	0.2842824659
68	0.2828362459
69	0.281680607
70	0.2799864041
71	0.2781972969
72	0.2769997585
73	0.275623177
74	0.2736405076
75	0.2723085967
76	0.2711030558
77	0.2699406452
78	0.2688953421
79	0.2678267007
80	0.2668274876
81	0.2656011903
82	0.2649078037
83	0.2641205254
84	0.2633124022
85	0.2623657631
86	0.2614206541
87	0.2605816087
88	0.2596688373
89	0.2585858797
90	0.2579000578
91	0.2569901991
92	0.2562073311
93	0.2552763528
94	0.2541195576
95	0.2533903776
96	0.2527614443
97	0.2520558737
98	0.2512953894
99	0.2506307679
100	0.2498975851
101	0.2492240255
102	0.2481470846
103	0.2473760003
104	0.2467768681
105	0.2460364157
106	0.2453338784
107	0.2448748314
108	0.2443196844
109	0.243787519
110	0.2432821876
111	0.2427721926
112	0.2422507806
113	0.2413445797
114	0.2407255069
115	0.2398817174
116	0.239026813
117	0.238470045
118	0.2380395583
119	0.2373328195
120	0.2367545946
121	0.2360321142
122	0.2356196883
123	0.2353346819
124	0.2347953738
125	0.2343030802
126	0.233664418
127	0.2333754086
128	0.2327679893
129	0.2321983004
130	0.2317707282
131	0.2311573061
132	0.2306873936
133	0.2299149774
134	0.2295699524
135	0.2289759854
136	0.2285186317
137	0.2281072348
138	0.2278299865
139	0.2271886212
140	0.2267886467
141	0.2262182592
142	0.2258005535
143	0.2254433416
144	0.224840488
145	0.2245403023
146	0.2240419164
147	0.2236988951
148	0.2230815616
149	0.2227056013
150	0.2221777955
151	0.221847911
152	0.2213691962
153	0.2210413843
154	0.2207199136
155	0.2204380827
156	0.21979452
157	0.2193171283
158	0.2189675281
159	0.218443856
160	0.2178581994
161	0.2175523869
162	0.2171504959
163	0.2168835995
164	0.2163729017
165	0.2160863009
166	0.2158249928
167	0.2153003117
168	0.2149407547
169	0.2147177085
170	0.2140943231
171	0.2138601923
172	0.2134395037
173	0.2132173475
174	0.2128953947
175	0.2126514968
176	0.2123551815
177	0.211982825
178	0.2117334945
179	0.2114097508
180	0.2110373346
181	0.210645844
182	0.2102658923
183	0.2096195355
184	0.2094034011
185	0.2089777991
186	0.2086911805
187	0.2084365964
188	0.2082573944
189	0.207828312
190	0.2076430202
191	0.2071919366
192	0.2069058382
193	0.2065898044
194	0.2062080608
195	0.2059326096
196	0.205659763
197	0.2052755754
198	0.2050085926
199	0.2046858467
200	0.2042421677
201	0.2038423048
202	0.2034856651
203	0.2032244653
204	0.2028614799
205	0.2023792931
206	0.202006555
207	0.2017178499
208	0.201498103
209	0.2013433417
210	0.2010830683
211	0.2006952817
212	0.2004425426
213	0.2000761595
214	0.1998796733
215	0.1995797109
216	0.1992751289
217	0.1987953726
218	0.198678317
219	0.1984432923
220	0.1982351454
221	0.19816506
222	0.1980521761
223	0.1978545455
224	0.197576539
225	0.197346907
226	0.1970910466
227	0.1968234286
228	0.1965504884
229	0.1961414788
230	0.1959323385
231	0.1956844542
232	0.1953341692
233	0.1951534708
234	0.1949662206
235	0.194687357
236	0.1945411724
237	0.1941929017
238	0.1939166847
239	0.1936940189
240	0.193604416
241	0.193333581
242	0.1930941778
243	0.192914624
244	0.1926298206
245	0.1923988582
246	0.1920681284
247	0.1918023636
248	0.1914671954
249	0.1911882989
250	0.1909582709
251	0.1908774377
252	0.1907083351
253	0.1904347402
254	0.1903049263
255	0.1900587647
256	0.189865038
257	0.1895239978
258	0.1894098387
259	0.1890774916
260	0.1889244763
261	0.188657577
262	0.1883149363
263	0.1880902055
264	0.1879889246
265	0.1878701888
266	0.1876745001
267	0.1875601073
268	0.1873643433
269	0.1871436236
270	0.1869345957
271	0.1866356637
272	0.1864121026
273	0.1862314599
274	0.1860421659
275	0.1858849677
276	0.1855300398
277	0.1853378213
278	0.1850971823
279	0.184969684
280	0.1848084
281	0.1847019406
282	0.184555761
283	0.1843963208
284	0.1841190164
285	0.1837808977
286	0.1835066224
287	0.1833649927
288	0.1830673755
289	0.1828189969
290	0.1826961858
291	0.1823197573
292	0.1821346468
293	0.18197154
294	0.1817335868
295	0.1815785962
296	0.18137861
297	0.1812271722
298	0.1808657886
299	0.1806609037
300	0.1804858104
301	0.1800917706
302	0.1798985555
303	0.1798037051
304	0.1796046738
305	0.1794704768
306	0.1792227434
307	0.1788681178
308	0.1787149499
309	0.178569348
310	0.1783511887
311	0.1781978896
312	0.1779708057
313	0.177757753
314	0.1776254242
315	0.1774623175
316	0.1773180203
317	0.1771473339
318	0.176988013
319	0.1766898038
320	0.1765373318
321	0.1763891009
322	0.1761916048
323	0.1760605303
324	0.1758546555
325	0.1756126785
326	0.1753044485
327	0.1751660692
328	0.1750138879
329	0.1749327436
330	0.174697501
331	0.1745289928
332	0.1743207141
333	0.1740939512
334	0.1736993732
335	0.1734844088
336	0.1732676777
337	0.1730236991
338	0.1728471896
339	0.1726875768
340	0.1724743526
341	0.1723181575
342	0.1719808035
343	0.1718185466
344	0.1715903381
345	0.1714693006
346	0.1711743875
347	0.1709915704
348	0.1708799948
349	0.1707720963
350	0.1705997086
351	0.1703666318
352	0.1701712762
353	0.1699898417
354	0.169834236
355	0.1696851616
356	0.1695228438
357	0.1693006162
358	0.1690888358
359	0.1689001982
360	0.1687973282
361	0.1686534963
362	0.1684493386
363	0.168279563
364	0.1681675734
365	0.1679879689
366	0.1678269859
367	0.1676933999
368	0.1675415564
369	0.1673744062
370	0.1671155333
371	0.1669773506
372	0.1668875624
373	0.1666800195
374	0.1665035127
375	0.1663122079
376	0.1661050205
377	0.1659737469
378	0.1657594092
379	0.1656488081
380	0.1655160403
381	0.1654732231
382	0.1652859697
383	0.1651051783
384	0.1650245389
385	0.1647941641
386	0.1646690506
387	0.1645440553
388	0.1644973664
389	0.1643238781
390	0.1641073587
391	0.1640065284
392	0.1638677037
393	0.1637648242
394	0.16365203
395	0.16349553
396	0.1632457504
397	0.1630212628
398	0.1627931106
399	0.1625866173
400	0.1623948384
401	0.1622287266
402	0.1620872623
403	0.1620243079
404	0.1618033439
405	0.1616394841
