iter	Passed	Remaining
0	5	5491
1	10	5049
2	14	4956
3	19	4826
4	23	4686
5	27	4570
6	31	4514
7	35	4422
8	39	4364
9	43	4308
10	47	4267
11	51	4226
12	55	4197
13	59	4164
14	62	4135
15	66	4113
16	70	4087
17	74	4059
18	78	4035
19	82	4026
20	86	4011
21	89	3987
22	93	3972
23	97	3960
24	101	3951
25	104	3932
26	109	3929
27	112	3917
28	116	3903
29	120	3891
30	124	3884
31	128	3875
32	131	3862
33	135	3857
34	139	3843
35	143	3835
36	146	3821
37	150	3815
38	154	3808
39	158	3799
40	162	3791
41	165	3783
42	169	3777
43	173	3768
44	177	3760
45	181	3754
46	184	3748
47	188	3740
48	192	3734
49	196	3731
50	200	3726
51	204	3721
52	207	3714
53	211	3707
54	215	3700
55	219	3694
56	222	3688
57	226	3680
58	230	3677
59	234	3673
60	238	3668
61	241	3661
62	245	3658
63	249	3653
64	253	3647
65	257	3644
66	261	3641
67	265	3636
68	269	3630
69	273	3629
70	277	3626
71	280	3621
72	284	3616
73	288	3613
74	292	3608
75	299	3641
76	304	3649
77	308	3646
78	312	3640
79	316	3637
80	320	3638
81	324	3633
82	328	3629
83	332	3628
84	336	3621
85	340	3616
86	344	3610
87	347	3605
88	351	3599
89	355	3594
90	359	3588
91	363	3582
92	366	3576
93	370	3572
94	374	3566
95	378	3560
96	382	3556
97	385	3551
98	389	3546
99	393	3540
100	397	3535
101	401	3533
102	405	3528
103	409	3524
104	412	3519
105	416	3514
106	420	3512
107	424	3509
108	428	3505
109	432	3501
110	436	3499
111	441	3497
112	445	3494
113	449	3490
114	453	3490
115	457	3485
116	461	3482
117	465	3479
118	469	3476
119	473	3471
120	477	3469
121	482	3475
122	487	3474
123	491	3470
124	495	3467
125	499	3465
126	503	3463
127	507	3459
128	511	3456
129	515	3452
130	519	3448
131	523	3445
132	527	3440
133	531	3436
134	535	3432
135	539	3428
136	543	3425
137	547	3420
138	551	3415
139	555	3410
140	559	3408
141	563	3405
142	567	3401
143	571	3398
144	575	3395
145	579	3391
146	584	3389
147	588	3385
148	592	3381
149	595	3376
150	599	3373
151	603	3369
152	607	3364
153	611	3360
154	615	3357
155	619	3354
156	623	3349
157	627	3345
158	631	3341
159	635	3336
160	639	3332
161	643	3328
162	647	3323
163	651	3319
164	655	3316
165	659	3311
166	663	3307
167	667	3305
168	671	3302
169	675	3297
170	682	3308
171	687	3310
172	691	3306
173	695	3303
174	700	3300
175	704	3296
176	708	3292
177	711	3287
178	715	3283
179	719	3279
180	723	3275
181	727	3270
182	731	3265
